OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
3950,0140278,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3951,0140279,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3952,0140280,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3953,0140281,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3954,0140282,well drained,morainal till, , , , , , , , , , , , ,72,30
3955,0140283,well drained,morainal till, , , , , , , , , , , , , ,53
3956,0140284,well drained,morainal till, , , , , , , , , , , , , ,50
3957,0140285,imperfectly drained,morainal till, , , , , , , , , , , , , ,35
3958,0140286,poorly drained,morainal till, , , , , , , , , , , , , ,18
3959,0140287,well drained,morainal till, , , , , , , , , , , , , ,20
3960,0140288,poorly drained,morainal till, , , , , , , , , , , , , ,33
3961,0140289,poorly drained,morainal till, , , , , , , , , , , , , ,27
3962,0140290,imperfectly drained,morainal till, , , , , , , , , , , , , ,15
3963,0140291,imperfectly drained,marine, , , , , , , , , , , , , , 
3964,0140292,poorly drained,marine, , , , , , , , , , , , , , 
3965,0140293,well drained,morainal till, , , , , , , , , , , , ,25, 
3966,0140294,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3967,0140295,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3968,0140296,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3969,0140297,imperfectly drained,marine, , , , , , , , , , , , , , 
3970,0140298,poorly drained,marine, , , , , , , , , , , , , , 
3971,0140299,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3972,0140300,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,75
3973,0140301,well drained,residual, , , , , , , , , , , , , ,70
3974,0140302,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,0
3975,0140303,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,28
3976,0140304,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,50
3977,0140305,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3978,0140306,imperfectly drained,morainal till, , , , , , , , , , , , , , 
3979,0140307,moderately drained,morainal till, , , , , , , , , , , , , , 
3980,0140308,well drained,morainal till, , , , , , , , , , , , ,34, 
3981,0140309,poorly drained,morainal till, , , , , , , , , , , , ,35, 
3982,0140310,imperfectly drained,morainal till, , , , , , , , , , , , ,35, 
3983,0140311,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,43
3984,0140312,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3985,0140313,poorly drained,marine, , , , , , , , , , , , , , 
3986,0140314,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,38
3987,0140315,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3988,0140316,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,56
3989,0140317,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3990,0140318,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3991,0140319,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3992,0140320,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
3993,0140321,moderately drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,72
3994,0140322,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,85
3995,0140323,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,28
3996,0140324,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,0
3997,0140325,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,70
3998,0140326,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
3999,0140327,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4000,0140328,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4001,0140329,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4002,0140330,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4003,0140331,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4004,0140332,well drained,morainal till, , , , , , , , , , , , , , 
4005,0140333,imperfectly drained,morainal till, , , , , , , , , , , , , , 
4006,0140334,well drained,morainal till, , , , , , , , , , , , , , 
4007,0140335,imperfectly drained,morainal till, , , , , , , , , , , , , ,0
4008,0140336,imperfectly drained,morainal till, , , , , , , , , , , , , ,53
4009,0140337,well drained,morainal till, , , , , , , , , , , , , ,67
4010,0140338,imperfectly drained,morainal till, , , , , , , , , , , , , ,71
4011,0140339,well drained,morainal till, , , , , , , , , , , , , ,22
4012,0140340,imperfectly drained,morainal till, , , , , , , , , , , , , ,31
