OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
18267,0282083,4,30.5,53.5,0.75, , ,4.5, , , , , , , , , , , , , ,1.64, , , 
18268,0282134,3,2,24,0.27, , ,4.5, ,3.64, ,0.16,1.76,0.1, , , , , , , ,0.59, , , 
18269,0282302,1,-4,0,27.1, , ,4.5, ,18.56, ,1.3,4.07,0.05, , , , , , , ,0.66, , , 
18270,0282302,4,16,39,0.6, , ,4.5, ,9.48, ,0.16,3.6,0.08, , , , , , , ,0.66, , , 
18271,0282313,2,0,9,1.3, , ,4.5, ,5.04, ,0.37,1.28,0.03, , , , , , , ,0.9, , , 
18272,0282369,3,6,12,1.2, , ,4.5, ,7.21, ,0.2,3.38,0.04, , , , , , , ,1.1, , , 
18273,0282380,3,3,31,0.5, , ,4.5, ,17.78, ,0.51,4.9,0.06, , , , , , , ,1.18, , , 
18274,0282413,2,0,5,2.2, , ,4.5, ,5.4, ,0.34,1.42,0.06, , , , , , , ,1.42, , , 
18275,0282522,3,5,13,1.5, , ,4.5, ,5.35, ,0.2,2.17,0.04, , , , , , , ,0.76, , , 
18276,0282524,4,32,77,0, , ,4.5, ,15.88, ,0.43,5.49,0.22, , , , , , , ,0.74, , , 
18277,0282525,2,0,18,1.2, , ,4.5, ,7.9, ,0.34,5,0.06, , , , , , , ,0.49, , , 
18278,0282530,1,-5,0,19.4, , ,4.5, ,33.12, ,2.25,8.24,0.1, , , , , , , ,0.86, , , 
18279,0282533,3,5,30,0.6, , ,4.5, ,5.21, ,0.38,3.01,0.04, , , , , , , ,0.13, , , 
18280,0282539,3,2,7,2, , ,4.5, ,1.54, ,0.31,0.2,0.03, , , , , , , ,1.14, , , 
18281,0282539,4,7,12,0.4, , ,4.5, ,1.62, ,0.19,0.35,0.03, , , , , , , ,1.14, , , 
18282,0282542,5,18,39,0.7, , ,4.5, ,22.1, ,0.74,4.17,0.06, , , , , , , ,1.2, , , 
18283,0282548,4,14,41,1, , ,4.5, ,12.71, ,0.29,5.13,0.07, , , , , , , ,0.59, , , 
18284,0282548,5,41,100,0.5, , ,4.5, ,16.2, ,0.32,5.42,0.05, , , , , , , ,0.59, , , 
18285,0282562,4,37,77,0.8, , ,4.5, ,12.55, ,0.36,3.42,0.07, , , , , , , ,0.64, , , 
18286,0282564,2,0,20,1.1, , ,4.5, ,4.35, ,0.46,1.08,0.05, , , , , , , ,1.08, , , 
18287,0282574,3,4,24,0.49, , ,4.5, ,0.9, ,0.1,0.1,0.1, , , , , , , ,0.08, , , 
18288,0282590,1,-6,0,20.4, , ,4.5, ,18.07, ,0.91,1.7,0.06, , , , , , , ,0.67, , , 
18289,0282629,2,0,8,0.87, , ,4.5, ,1.6, ,0.2,0.8,0.1, , , , , , , ,0.04, , , 
18290,0282655,2,0,11,0.87, , ,4.5, ,1, ,0.1,0.6,0.1, , , , , , , ,0.12, , , 
18291,0282676,2,0,10,0.4, , ,4.5, ,1.13, ,0.08,0.06,0.02, , , , , , , ,0.46, , , 
18292,0282684,1,-7,0,21.5, , ,4.5, ,28.69, ,2.14,6.37,0.04, , , , , , , ,0.87, , , 
18293,0282703,2,0,5,1.7, , ,4.5, ,8, ,0.25,3.87,0.18, , , , , , , ,1.29, , , 
18294,0282718,1,-12,0,48.1, , ,4.5, ,40.63, ,2.17,5.65,0.1, , , , , , , ,1.39, , , 
18295,0282734,4,49,100, , , ,4.5, ,0.13, ,0.02, ,0.01, , , , , , , ,1.56, , , 
18296,0282788,3,6,16,0.4, , ,4.5, ,8, ,0.4,2.92,0.07, , , , , , , ,0.61, , , 
18297,0282790,2,0,9,2.5, , ,4.5, ,10, ,1.14,2.69,0.09, , , , , , , ,1.39, , , 
18298,0282813,2,0,5,0.2, , ,4.5, ,3.24, ,0.13,1.48,0.05, , , , , , , ,1.23, , , 
18299,0282816,5,59,89,0.1, , ,4.5, ,2.63, ,0.27,0.7,0.02, , , , , , , ,0.72, , , 
18300,0282818,1,-9,0,34.3, , ,4.5, ,40, ,5.24,4.52,0.15, , , , , , , ,1.19, , , 
18301,0282832,3,3,17,7.66, , ,4.5, ,0.46, ,0,0.07,0, , , , , , , ,1.88, , , 
18302,0282833,6,49,100,2.73, , ,4.5, ,0.14, ,0,0.02,0.2, , , , , , , ,1.3, , , 
18303,0282844,1,-6,0,46.54, , ,4.5, ,19.8, ,4.39,4.06,0.68, , , , , , , ,1.37, , , 
18304,0282849,3,6,13,9.43, , ,4.5, ,3.36, ,0.15,0.3,0.05, , , , , , , ,1.2, , , 
18305,0282849,4,13,20,9.43, , ,4.5, ,3.36, ,0.15,0.3,0.05, , , , , , , ,1.2, , , 
18306,0282865,3,7,14,7.05, , ,4.5, ,1.43, ,0.09,0.18,0.05, , , , , , , ,2.05, , , 
18307,0282865,4,14,37,7.05, , ,4.5, ,1.43, ,0.09,0.18,0.05, , , , , , , ,2.05, , , 
18308,0282875,1,-2,0,39.7, , ,4.5, ,15.23, ,4.68,4.33,0.26, , , , , , , ,0.85, , , 
18309,0282884,3,4,16,0.45, , ,4.5, ,0.1, ,0.02,0.02,0.03, , , , , , , ,0.96, , , 
18310,0282884,4,16,33,0.45, , ,4.5, ,0.1, ,0.02,0.02,0.03, , , , , , , ,0.96, , , 
18311,0282891,1,-9,-5, , , ,4.5, ,18.35, ,2.74,4.07,0.36, , , , , , , ,1.64, , , 
18312,0282896,5,7,18,3.34, , ,4.5, ,1.24, ,0.1,0.15,0.11, , , , , , , ,1.36, , , 
18313,0282915,1,-4,0,39.69, , ,4.5, ,38.17, ,2.48,4.79,0.08, , , , , , , ,1.54, , , 
18314,0282920,3,1,100,7.82, , ,4.5, ,0.17, ,0.02,0.04,0, , , , , , , ,1.93, , , 
18315,0282921,3,5,100,1.67, , ,4.5, ,0.8, ,0.13,0.33,0, , , , , , , ,0.99, , , 
18316,0282934,4,9,13,0.13, , ,4.5, ,0, ,0,0,0, , , , , , , ,0.21, , , 
18317,0490016,2,7,30,0.4, , ,4.5, ,0.1, , ,0, , ,1, , , , , , , , , 
18318,0490016,3,30,50,0.7, , ,4.5, ,0.1, , ,0,0, ,1.5, , , , , , , , , 
18319,0490017,2,14,44,0.8, , ,4.5, ,0.2, , , ,0, ,5.1, , , , , , , , , 
18320,0490018,2,5,41, , , ,4.5, ,12.9, , ,0.2,0, ,6.9, , , , , , , , , 
18321,0490018,3,41,86, , , ,4.5, ,0.5, , ,0.1,0, ,6.9, , , , , , , , , 
18322,0490018,4,86,120, , , ,4.5, ,0.4, , ,0.2,0, ,5.1, , , , , , , , , 
18323,0490020,1,0,4,13.9, , ,4.5, ,12.4, , ,2.4,0.1, ,49, , , , , , , , , 
18324,0490020,2,4,7,4.5, , ,4.5, ,1.9, , ,0.3,0.1, ,17.1, , , , , , , , , 
18325,0500353,3,2,10,0.69, , ,4.5, , , , , , , , , , , , , , , , , 
18326,0500354,2,0,2,0.37, , ,4.5, , , , , , , , , , , , , , , , , 
18327,0500354,3,2,30,0.14, , ,4.5, , , , , , , , , , , , , , , , , 
18328,0500355,5,63,90,0.1, , ,4.5, , , , , , , , , , , , , , , , , 
18329,0500367,3,7,14,1.81, , ,4.5, , , , , , , , , , , , , , , , , 
18330,0500381,3,2,24,0.27, , ,4.5, , , , , , , , , , , , , , , , , 
18331,0500402,1,4,0,27.1, , ,4.5, , , , , , , , , , , , , , , , , 
18332,0500402,4,16,39,0.6, , ,4.5, , , , , , , , , , , , , , , , , 
18333,0500403,2,0,9,1.3, , ,4.5, , , , , , , , , , , , , , , , , 
18334,0500408,3,6,12,1.2, , ,4.5, , , , , , , , , , , , , , , , , 
18335,0500409,3,3,31,0.5, , ,4.5, , , , , , , , , , , , , , , , , 
18336,0500412,2,0,5,2.2, , ,4.5, , , , , , , , , , , , , , , , , 
18337,0500426,3,5,13,1.5, , ,4.5, , , , , , , , , , , , , , , , , 
18338,0500428,2,0,18,1.2, , ,4.5, , , , , , , , , , , , , , , , , 
18339,0500433,1,5,0,19.4, , ,4.5, , , , , , , , , , , , , , , , , 
18340,0500436,3,5,30,0.6, , ,4.5, , , , , , , , , , , , , , , , , 
18341,0500441,3,2,7,2, , ,4.5, , , , , , , , , , , , , , , , , 
18342,0500441,4,7,12,0.4, , ,4.5, , , , , , , , , , , , , , , , , 
18343,0500444,5,18,39,0.7, , ,4.5, , , , , , , , , , , , , , , , , 
18344,0500449,4,14,41,1, , ,4.5, , , , , , , , , , , , , , , , , 
18345,0500449,5,41,100,0.5, , ,4.5, , , , , , , , , , , , , , , , , 
18346,0500462,4,37,77,0.8, , ,4.5, , , , , , , , , , , , , , , , , 
18347,0500464,2,0,20,1.1, , ,4.5, , , , , , , , , , , , , , , , , 
18348,0500579,3,4,24,0.49, , ,4.5, , , , , , , , , , , , , , , , , 
18349,0500628,2,0,8,0.87, , ,4.5, , , , , , , , , , , , , , , , , 
18350,0500652,2,0,11,0.87, , ,4.5, , , , , , , , , , , , , , , , , 
18351,0500671,2,0,10,0.4, , ,4.5, , , , , , , , , , , , , , , , , 
18352,0500678,1,7,0,21.5, , ,4.5, , , , , , , , , , , , , , , , , 
18353,0500694,2,0,5,1.7, , ,4.5, , , , , , , , , , , , , , , , , 
18354,0500708,1,12,0,48.1, , ,4.5, , , , , , , , , , , , , , , , , 
18355,0500723,4,49,100, , , ,4.5, , , , , , , , , , , , , , , , , 
18356,0500772,3,6,16,0.4, , ,4.5, , , , , , , , , , , , , , , , , 
18357,0500773,2,0,9,2.5, , ,4.5, , , , , , , , , , , , , , , , , 
18358,0500793,2,0,5,0.2, , ,4.5, , , , , , , , , , , , , , , , , 
18359,0500796,5,59,89,0.1, , ,4.5, , , , , , , , , , , , , , , , , 
18360,0500798,1,9,0,34.3, , ,4.5, , , , , , , , , , , , , , , , , 
18361,0570010,4,28,48, , , ,4.5, ,0.5, , ,0.1, , ,3.5, , , , , , , , , 
18362,0570013,5,24,48, , , ,4.5, , , , , , , , , , , , , , , , , 
18363,0570013,6,48,65, , , ,4.5, , , , , , , , , , , , , , , , , 
18364,0570022,2,1,10,3.8, , ,4.5, ,1.3, , ,0.1,0.1, ,16.1, , , , , , , , , 
18365,0570022,5,58,90, , , ,4.5, ,0.1, , , , , ,4.5, , , , , , , , , 
18366,0570023,1,0,15,8.5, , ,4.5, ,1.8, , , ,0.2, ,24.3, , , , , , , , , 
18367,0570027,4,50,72,0.3, , ,4.5, ,0.5, , ,0.1,0.1, ,5.2, , , , , , , , , 
18368,0590004,3,0,10,1.41, , ,4.5, ,11.60, ,1.14,3.18,0.27, ,25.0, , , , , ,1.65, , , 
18369,0590004,5,16,36,0.60, , ,4.5, ,18.50, ,0.59,14.00,0.72, ,43.6, , , , , ,1.65, , , 
18370,0590012,4,30,65,0.13, , ,4.5, ,3.22, ,0.22,1.18,0.08, ,7.7, , , , , ,0.06, , , 
18371,0770004,1,0,11,1.07, , ,4.5, ,5.20, ,0.80,1.20,0.20, ,14.0, , , , , , , , , 
18372,0830015,2,4,38,2.1, , ,4.5, ,1.6, , ,2.1,0.1, ,18.8, ,7.9, , , , , , , 
18373,0870008,3,5,26,1.03, , ,4.5, , , , , , , , , , , , , , , , , 
18374,0870026,5,5,13,0.66, , ,4.5, , , , , , , , , , , , , , , , , 
18375,0870027,5,31,59,1.33, , ,4.5, , , , , , , , , , , , , , , , , 
18376,0870030,2,0,15,1.78, , ,4.5, , , , , , , , , , , , , , , , , 
18377,0870032,4,38,54,0.83, , ,4.5, , , , , , , , , , , , , , , , , 
18378,0870033,4,40,82,1.21, , ,4.5, , , , , , , , , , , , , , , , , 
18379,0870047,5,28,42,0.41, , ,4.5, , , , , , , , , , , , , , , , , 
18380,0870048,6,60,75,0.34, , ,4.5, , , , , , , , , , , , , , , , , 
18381,0870050,2,0,17,0.63, , ,4.5, , , , , , , , , , , , , , , , , 
18382,0870058,1,4,3,34.27, , ,4.5, , , , , , , , , , , , , , , , , 
18383,0870059,6,18,31,0.48, , ,4.5, , , , , , , , , , , , , , , , , 
18384,0870059,7,31,53,0.38, , ,4.5, , , , , , , , , , , , , , , , , 
18385,0870061,9,87,100,0.38, , ,4.5, , , , , , , , , , , , , , , , , 
18386,0870062,7,59,100,0.51, , ,4.5, , , , , , , , , , , , , , , , , 
18387,0870067,6,53,100,0.24, , ,4.5, , , , , , , , , , , , , , , , , 
18388,0870070,8,40,54,0.26, , ,4.5, , , , , , , , , , , , , , , , , 
18389,0870074,1,43,42,44.32, , ,4.5, , , , , , , , , , , , , , , , , 
18390,0870077,4,15,24,0.79, , ,4.5, , , , , , , , , , , , , , , , , 
18391,0870087,3,14,52,0.49, , ,4.5, , , , , , , , , , , , , , , , , 
18392,0870094,2,0,6,3.27, , ,4.5, , , , , , , , , , , , , , , , , 
18393,0870096,5,53,100,0.4, , ,4.5, , , , , , , , , , , , , , , , , 
18394,0870100,3,4,24,0.94, , ,4.5, , , , , , , , , , , , , , , , , 
18395,0870113,2,0,10,2.98, , ,4.5, , , , , , , , , , , , , , , , , 
18396,0870117,3,7,20,1.25, , ,4.5, , , , , , , , , , , , , , , , , 
18397,0870118,1,4,0,32.95, , ,4.5, , , , , , , , , , , , , , , , , 
18398,0870121,1,26,20,43.1, , ,4.5, , , , , , , , , , , , , , , , , 
18399,0870150,6,80,100,0.28, , ,4.5, , , , , , , , , , , , , , , , , 
18400,0530005,3,18,48, , , ,4.47, , , , , , , , , , , , , ,0.33, , , 
18401,0460013,5,70,100, , , ,4.44, ,7.73, ,0.09,3.28, , ,12.8, , , , , ,0.04, , , 
18402,0150169,1,5,0,33.32, ,4,4.43, , , , , , , , , , , , , ,0.61, , , 
18403,0020120,3,12,17,1.3, , ,4.4, ,3.1, ,0.2,1.2,2, ,10.8, , , , , ,0.1, , , 
18404,0020903,5,24,29,0.5, , ,4.4,0.7, , , , , , , , , , , , ,9, , , 
18405,0021259,1,0,41, , , ,4.4, ,6.3, ,0.7,13.3,1, ,114.8, , , , , ,0.6, , , 
18406,0042835,1,0,5,55.45, , ,4.4, ,30, ,0.8,34.4,6.5, ,93.1, ,10.8, , , ,9, , , 
18407,0042881,1,-10,0,51.36, , ,4.4, , , , , , , , , , , , , ,1.08, , , 
18408,0043076,2,0,18,0.23, , ,4.4, , , ,0.1,0.2,0.1, ,1.1, ,0.8, , , ,0.02, , , 
18409,0043076,3,18,30,0.23, , ,4.4, ,0.4, , , , , ,1.7, , , , , ,0.02, , , 
18410,0043196,3,10,18,0.67, , ,4.4, ,12.4, ,0.4,6.4,0.1, ,24.3, ,5.2, , , ,0.06, , , 
18411,0043205,1,-13,0,52.09, , ,4.4, ,40.6, ,1,9.9,0.7, ,91.6, ,42.8, , , ,9, , , 
18412,0043323,2,-15,0,50.78, , ,4.4, ,56.2, ,0.2,8.5,0.1, ,147.9, ,59.8, , , ,3.09, , , 
18413,0043337,8,69,81, , , ,4.4, , , , , , , , , , , , , ,9, , , 
18414,0043366,3,13,33,0.42, , ,4.4, ,2.3, , ,0.8,0.1, ,6.4, ,1.5, , , ,0.03, , , 
18415,0043380,3,30,60,56.64, , ,4.4, , , , , , , , , , , , , ,1.68, , , 
18416,0043380,4,60,80,56.36, , ,4.4, , , , , , , , , , , , , ,2.06, , , 
18417,0043385,2,20,40,51.81, , ,4.4, , , , , , , , , , , , , ,1.17, , , 
18418,0043386,5,80,100,57.9, , ,4.4, , , , , , , , , , , , , ,2.61, , , 
18419,0043386,6,100,120,40.61, , ,4.4, , , , , , , , , , , , , ,2.77, , , 
18420,0043388,8,140,160,57.37, , ,4.4, , , , , , , , , , , , , ,2.39, , , 
18421,0043388,9,160,180,47.08, , ,4.4, , , , , , , , , , , , , ,2.22, , , 
18422,0043391,2,0,5,1.66, , ,4.4, , , , , , , , , , , , , ,0.1, , , 
18423,0043391,3,5,33,1.68, , ,4.4, , , , , , , , , , , , , ,0.11, , , 
18424,0043391,4,33,50,1.4, , ,4.4, , , , , , , , , , , , , ,0.15, , , 
18425,0043393,1,0,20,49.7, , ,4.4, , , , , , , , , , , , , ,1.66, , , 
18426,0043396,1,-17,-5,48.44, , ,4.4, , , , , , , , , , , , , ,2.71, , , 
18427,0043434,2,40,50,56.8, , ,4.4, ,56.8, , ,2.3,0.2, ,170.6, ,99.9, , , ,1, , , 
18428,0043435,2,0,8,0.3, , ,4.4, ,0.3, ,0.1,0.1,0.1, ,1.3, ,1, , , ,0.1, , , 
18429,0043454,2,20,40,59.9, , ,4.4,1.5,63.9, , ,6.3,0.3, , , ,88, , , ,2.9, , , 
18430,0043461,3,5,10,0.5, , ,4.4, ,0.9, ,0.1,0.3,0.1, ,3.4, ,1.8, , , ,0.1, , , 
18431,0043461,4,10,25,0.9, , ,4.4, ,0.2, ,0.1,0.1,0.1, ,4.3, ,3.6, , , ,0.1, , , 
18432,0043496,3,3,12,0.9, , ,4.4, ,3.1, ,0.2,1.2,0.1, ,12.4, ,4.3, , , ,0.1, , , 
18433,0043513,4,10,20,0.9, , ,4.4, ,1.5, ,0.1,0.6,0.1, ,8.9, ,3.8, , , ,0.1, , , 
18434,0043530,3,15,30,0.6, , ,4.4, ,0.5, ,0.1,0.1,0.1, ,4.8, ,2.8, , , ,0.1, , , 
18435,0043539,1,-5,0,25.5, , ,4.4, ,16.9, ,1.6,13.4,0.2, ,64.8, ,28.5, , , ,1, , , 
18436,0043644,1,-10,-9,59.9, , ,4.4, ,23.2, ,5.5,9.7,0.5, ,58, ,42.6, , , ,0.9, , , 
18437,0043649,3,200,250,56.3, , ,4.4, ,24.5, ,0.1,6.1,0.5, ,113.6, ,75.8, , , ,9, , , 
18438,0043652,5,8,20,1.6, , ,4.4, ,2.2, ,0.1,0.5,0.1, ,13.8, ,8.4, , , ,0.1, , , 
18439,0043653,1,0,5,58.9, , ,4.4, ,30.1, ,3.1,10.7,0.5, ,77.6, ,56.4, , , ,1.5, , , 
18440,0043658,3,35,40,52.7, , ,4.4, ,58.1, ,0.3,9.9,0.5, ,142.3, ,74.4, , , ,1.2, , , 
18441,0043663,4,5,15,1.2, , ,4.4, ,0.9, ,0.1,0.3,0.1, ,11.4, ,8.4, , , ,0.1, , , 
18442,0043667,2,5,20,0.4, , ,4.4, ,1, , ,0.3, , ,5.4, ,4.6, , , ,9, , , 
18443,0043668,3,10,27,0.4, , ,4.4, ,1.2, ,0.1,0.6,0.1, ,5.6, ,4.3, , , ,9, , , 
18444,0043668,4,27,50,0.01, , ,4.4, ,0.3, , ,0.2,0.1, ,2, ,1.9, , , ,9, , , 
18445,0043680,4,0,11,0.2, , ,4.4, ,0.9, , ,0.1,0.1, ,3, ,0.8, , , ,9, , , 
18446,0043691,2,0,15,1.7, , ,4.4, ,0.7, ,0.2,0.2,0.1, ,10.2, , , , , ,0.1, , , 
18447,0043693,4,12,24,0.6, , ,4.4, ,0.6, ,0.1,0.1,0.1, ,8.3, ,6.1, , , ,9, , , 
18448,0043734,2,50,85,58.3, , ,4.4, , , , , , , , , , , , , ,9, , , 
18449,0043758,1,-3,0,55, , ,4.4, ,16.1, ,1.8,11.1,0.4, ,67.1, ,41.5, , , ,1.3, , , 
18450,0043760,3,8,20,1.2, , ,4.4, ,0.4, ,0.1,0.1, , ,12.6, ,10.7, , , ,0.1, , , 
18451,0043773,1,-6,0,42.4, , ,4.4, ,8.4, ,3.1,22.8,0.3, ,85.2, ,58, , , ,1.5, , , 
18452,0043779,3,14,36,1, , ,4.4, ,7.3, ,0.6,10.4,0.6, ,29.2, ,11.7, , , ,0.1, , , 
18453,0043782,3,6,19,0.5, , ,4.4, ,0.3, ,0.1,1,0.1, ,3.9, ,2.6, , , ,9, , , 
18454,0043791,1,-7,0,53.1, , ,4.4, ,14, ,4.2,15.8,0.3, ,82.8, ,54, , , ,1.2, , , 
18455,0043791,3,10,18,1.1, , ,4.4, ,7.3, ,0.7,8.5,0.2, ,29.8, ,13, , , ,0.1, , , 
18456,0043791,4,18,45,0.8, , ,4.4, ,8.9, ,0.8,14.8,0.3, ,37, ,13.2, , , ,0.1, , , 
18457,0043792,1,-5,0,59.2, , ,4.4, ,30.1, ,3.5,2.8,0.2, ,101, ,76.7, , , ,1.3, , , 
18458,0043803,4,10,35,0.5, , ,4.4, ,0.7, , ,0.1,0.1, ,4.4, ,3.9, , , ,9, , , 
18459,0043807,5,37,45,0.3, , ,4.4, ,3.5, ,0.4,10.9,0.3, ,29.4, ,14.2, , , ,9, , , 
18460,0043807,9,86,115, , , ,4.4, ,0.5, ,0.1,2,0.1, ,2.8, ,1.4, , , ,9, , , 
18461,0043809,6,220,240,33.9, , ,4.4, ,15.3, ,0.1,5.2,0.2, ,81.3, ,56, , , ,1.2, , , 
18462,0043812,8,265,300, , , ,4.4, ,7.8, ,0.1,3.1,0.1, ,26.5, ,12, , , ,9, , , 
18463,0043872,1,0,4,50.4, , ,4.4, ,33.6, ,2.6,11.2,0.3, ,107.1, ,63, , , ,1.11, , , 
18464,0043912,4,8,22,1.7, , ,4.4, ,1.3, ,0.2,0.9,0.1, ,17.8,47,11.4, , , ,0.09, , , 
18465,0043917,5,18,40,1.4, , ,4.4, ,19.5, ,1.1,17.7,0.4, ,61.2,97,25.2, , , ,0.12, , , 
18466,0044008,1,-8,0,31, , ,4.4, ,24.8, ,2.4,5.3,0.3, ,91.9,452,60.8, , , ,1.74, , , 
18467,0044091,2,0,22,0.92, , ,4.4, ,0.9, ,0.1,0.4, , ,6,22,3.9, , , ,0.05, , , 
18468,0044102,1,-4,-2,23.66, , ,4.4, ,20.7, ,1.4,4.3,0.2, ,51.9,247,22.7, , , ,0.78, , , 
18469,0044109,5,16,30, , , ,4.4, ,0.3, , ,0.2, , ,2.3,23,1.7, , , ,9, , , 
18470,0044122,5,105,250,58.55, , ,4.4, ,39.7, ,0.1,15.3,0.2, ,143.3, ,88.3, , , ,1.07, , , 
18471,0044129,1,-6,-2,46.59, , ,4.4, ,24.9, ,1.6,5.6,0.1, ,92.8, ,63.7, , , ,1.52, , , 
18472,0044129,3,0,17,1.38, , ,4.4, ,1.7, ,0.2,1.1,0.2, ,13.4,31,9.7, , , ,0.08, , , 
18473,0044140,1,-20,-12,53.11, , ,4.4, ,37.2, ,1.9,12.9,0.2, ,93.4,517,42.9, , , ,1.22, , , 
18474,0044188,1,-10,0,46.24, , ,4.4, ,25, ,2.4,5.9,0.6, ,106.3, ,65.4, , , ,1.42, , , 
18475,0044191,2,0,4,0.5, , ,4.4, ,0.7, ,0.3,0.1,0.1, ,4,25.3,2.5, , , ,0.03, , , 
18476,0044192,3,20,50, , , ,4.4, ,0.5, ,0.4,0.2,0.1, ,18.5,33,11.2, , , ,9, , , 
18477,0044207,1,-30,-25,57.8, , ,4.4, ,20.2, ,9.9,6.7,0.4, ,88.2, ,60.6, , , ,0.98, , , 
18478,0044210,1,-10,-8,47.6, , ,4.4, ,11.2, ,1.9,3.6,0.1, ,38.7, ,25.8, , , ,0.47, , , 
18479,0044211,3,7,23,0.34, , ,4.4, ,1.4, ,0.4,0.6,0.2, ,5.1,17.6,3.5, , , ,0.03, , , 
18480,0054553,3,45,65, , , ,4.4, , , , , , , , , , , , , ,9, , , 
18481,0054756,2,30,200,43.34, , ,4.4,0.3,24.2, , ,25.4, ,49.9, , , , , , ,1.58, , , 
18482,0054766,3,125,470,50.52, , ,4.4,0.1,24.5, , ,28.4, ,53, , , , , , ,1.37, , , 
18483,0065112,7,58,74,0.4, , ,4.4,0.7,2.8, , ,0.1, ,2.5,6.1, , , , , ,9, , , 
18484,0065119,3,18,31,6.4, ,5,4.4,0.6,2.3, , ,0.1, , , , , , , , ,9, , , 
18485,0065135,3,10,27,4.35, ,4.8,4.4, , , ,0.1,0.1, , , , , , , , ,0.26, , , 
18486,0065137,1,0,19,4.69, ,5,4.4, ,1.5, ,0.1,0.2,0.1, , , , , , , ,0.32, , , 
18487,0065137,2,19,25,1.46, ,5.1,4.4, ,0.9, , ,0.1, , , , , , , , ,0.07, , , 
18488,0065137,3,25,36,2.58, ,4.8,4.4, ,0.9, , ,0.1, , , , , , , , ,0.18, , , 
18489,0065141,2,0,10,0.7, , ,4.4,0.2,1.6, , ,0.1, ,1.9,3.8, , , , , ,0.06, , , 
18490,0065156,3,7,21,6.16, ,4.9,4.4, , , , ,0.1, , , , , , , , ,0.03, , , 
18491,0065160,1,0,15,7.51, ,5.1,4.4, ,2.7, ,0.1,0.3,0.1, , , , , , , ,0.39, , , 
18492,0065169,1,0,12,4.68, ,4.7,4.4, ,3.1, ,0.1,0.2, , , , , , , , ,0.31, , , 
18493,0065170,2,0,13,1.16, ,4.5,4.4, ,0.5, , , , , ,2, , , , , ,0.06, , , 
18494,0065193,1,0,19,4.69, ,5,4.4, ,1.5, ,0.1,0.2, , , , , , , , ,0.32, , , 
18495,0065193,2,19,25,1.46, ,5.1,4.4, ,0.8, ,0.1,0.1, , , , , , , , ,0.07, , , 
18496,0065193,3,25,36,2.58, ,4.8,4.4, ,0.8, ,0.1,0.1, , , , , , , , ,0.18, , , 
18497,0065200,1,0,136,47.67, , ,4.4,0.1,73.5, , ,18.3, ,91.9, , , , , , ,1.82, , , 
18498,0065206,5,254,316,46.51, , ,4.4,0.1,66.4, , ,4.3, ,70.8, , , , , , ,1.58, , , 
18499,0065219,3,10,27,4.35, ,4.8,4.4, , , ,0.1,0.1, , , , , , , , ,0.26, , , 
18500,0065220,1,0,12,4.68, ,4.7,4.4, ,3.1, ,0.1,0.2, , , , , , , , ,0.31, , , 
18501,0065231,1,0,15,7.51, ,5.1,4.4, ,2.7, ,0.1,0.3,0.1, , , , , , , ,0.39, , , 
18502,0065236,6,85, ,0.06, ,5.1,4.4, ,0.2, , ,0.1, , , , , , , , , , , , 
18503,0075414,5,38,48, , ,5.3,4.4, ,0.1, ,0.1,0.2, , ,6.9, , , , , ,0.01, , , 
18504,0075417,1,0,20, , ,5.1,4.4, ,4, ,0.2,0.6, , ,8.1, , , , , ,0.07, , , 
18505,0075434,5,38,48,0.57, ,5.1,4.4, , , , , , , , , , , , , ,9, , , 
18506,0075439,4,28,35,2.36, ,4.7,4.4, , , , , , ,11.7, , , , , , ,9, , , 
18507,0075442,5,3,24,3.08, ,4.7,4.4, , , , , , , , , , , , , ,9, , , 
18508,0075442,7,38,43,0.63, ,4.6,4.4, , , , , , , , , , , , , ,9, , , 
18509,0075524,5,102, , , ,4.8,4.4, ,3.8, ,0.1,2.1, , , , , , ,203.5, ,9, , , 
18510,0075555,4,75,100,0.47, ,5,4.4, , , , , , ,6.8, , , , , , ,9, , , 
18511,0075565,3,20,30,2.04, ,4.5,4.4, ,0.2, ,0.1, , , , , , , ,1.4, ,9, , , 
18512,0075571,3,8,19,2.58, ,4.7,4.4, ,0.4, ,0.1,0.1, , , , , , ,55.6, ,9, , , 
18513,0075571,5,28,37,0.53, ,4.7,4.4, ,0.2, ,0.1, , , , , , , ,3.6, ,9, , , 
18514,0075572,2,19,22,0.77, ,5.2,4.4, ,0.8, ,0.1,0.3, , , , , , ,8.7, ,9, , , 
18515,0075572,4,29,61,0.28, ,5.2,4.4, ,1.7, ,0.1,1.7, , , , , , ,4.3, ,9, , , 
18516,0075689,3,18,45,2.6, ,4.8,4.4, , , , , , , , , , , , , ,9, , , 
18517,0075691,3,12,42,2, ,4.8,4.4, , , , , , , , , , , , , ,9, , , 
18518,0075697,2,0,12,4.71, ,5.2,4.4,1.8,3.5, ,0.1,0.5,0.2,5.9, , , , , , ,9, , , 
