OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
105,0044293,2,17,32,2.06, , ,8.3, ,22.3, ,0.6,26.7,0.3, ,27.5,65.5, , , , ,0.18, ,14.4,2.9
106,0044293,3,32,54,0.5, , ,8.3, ,26.3, ,0.6,11.3,0.2, ,17.5,50.7, , , , ,0.06, ,16.3,4.2
107,0044335,6,68,100, , , ,8.3, ,15.7, ,0.1,14,1.1, ,19.7,44.8, , , , ,9, ,9.9,7.4
108,0054744,3,40, ,0.4, ,8.5,8.3, ,25, ,0.2,10.1, , ,43.3, , , ,1, ,9, ,24.6,2
109,0054890,4,45, ,0.45, ,8.3,8.3, ,26, ,0.3,1.1,0.3, ,44, , , ,1, ,9, ,20.7,4.3
110,0140224,4,33,100, ,39.9, ,8.3, , , , , , , , , , , , , , , , , 
111,0140228,4,50,67, ,45.2, ,8.3, , , , , , , , , , , , , , , , , 
112,0281063,8,91.5,100,0.38, , ,8.3, , , , , , , , , , , , , ,0.48, , , 
113,0281076,3,45.5,66,0.11, , ,8.3, , , , , , , , , , , , , ,0.19, , , 
114,0281085,3,30.5,61,0.01, , ,8.3, , , , , , , , , , , , , ,0.6, , , 
115,0281085,4,61,100,0.13, , ,8.3, , , , , , , , , , , , , ,0.6, , , 
116,0281089,4,38,53.5,1.09, , ,8.3, , , , , , , , , , , , , ,0.73, , , 
117,0281094,5,76,100, , , ,8.3, , , , , , , , , , , , , ,0.85, , , 
118,0281099,5,40.5,100, , , ,8.3, , , , , , , , , , , , , ,1.05, , , 
119,0281111,3,35.5,100,0.01, , ,8.3, , , , , , , , , , , , , ,0.6, , , 
120,0281126,5,33,100,0.39, , ,8.3, , , , , , , , , , , , , ,0.23, , , 
121,0281140,3,40.5,56,0.66, , ,8.3, , , , , , , , , , , , , ,0.46, , , 
122,0281271,4,25.5,61, , , ,8.3, , , , , , , , , , , , , ,2.05, , , 
123,0281275,3,12.5,51,0.9, , ,8.3, , , , , , , , , , , , , ,1.12, , , 
124,0281445,7,40,46, , , ,8.3, , , , , , , , , , , , , ,0.45, , , 
125,0281536,6,49,100, , , ,8.3, , , , , , , , , , , , , ,1.35, , , 
126,0281849,4,76,100,0.67, , ,8.3, , , , , , , , , , , , , ,0.44, , , 
