OID_,PROVINCE,DATASET_ID,PEDON_ID,CAL_YEAR,LOCALITY,CONF_METRS,ELEVATION,EXTENT,PURPOSE,CSSC_ORDER,CSSC_GTGRP,CSSC_SBGRP,CSSC_NAME,CSSC_CODE,TX_PHASE_1,TX_FIT,TX_FACTOR1,TX_FACTOR2,LANDUSE,DD_LAT_N,DD_LONG_N
4281,manitoba,004,0044203,1981, ,151,349,limited,semi-detailed,regosol,humic, ,lei, ,Orthic,taxadjunct, , ,improved pasture,49.6469612,-99.2551422
4282,manitoba,004,0044204,1981, ,151,374,limited,semi-detailed,organic,mesisol, ,xvi, ,Typic,variant,texture,texture,outdoor recreation,49.6742210,-99.1427383
4283,manitoba,004,0044205,1981, ,16,408, ,semi-detailed,regosol,humic, ,shx, ,Cumulic,taxadjunct, , , ,49.6370506,-99.0789185
4284,manitoba,004,0044206,1981, ,16,267,extensive,benchmark,chernozem,black, ,pmg, ,Gleyed Rego,variant,texture,texture,cropland,51.0529709,-99.5703735
4285,manitoba,004,0044207,1981, ,16,208, ,research site,cryosol,static, ,opw, ,Brunisolic Eutric, , , ,productive,55.9126396,-97.6956177
4286,manitoba,004,0044208,1981, ,151,207, ,research site,gleysol,humic, ,par, ,Rego, , , ,unproductive,55.9121895,-97.6956406
4287,manitoba,004,0044209,1981, ,16,208, ,research site,luvisol,gray, ,brn, ,Gleyed Dark, , , ,productive,55.9108200,-97.6940765
4288,manitoba,004,0044210,1981, ,16,210, ,research site,luvisol,gray, ,wbw, ,Solonetzic,modal, , ,productive,55.9103699,-97.6932983
4289,manitoba,004,0044211,1981, ,16, ,very limited,reconnaisance,luvisol,gray, ,wbi, ,Brunisolic,variant, , ,mines and quarries,50.4699287,-95.2639084
4290,manitoba,004,0044212,1981, ,16, ,limited,reconnaisance,brunisol,dystric, ,hut, ,Eluviated,taxadjunct, , ,outdoor recreation,50.4635086,-95.2333069
4291,manitoba,004,0044213,1981, ,151, ,limited,reconnaisance,organic,mesisol, ,oko, ,Terric,variant,texture,texture,outdoor recreation,50.7558403,-96.1605225
4292,manitoba,004,0044214,1981, ,151, , ,semi-detailed,solonetz,solodized, ,zim, ,Dark Gray,modal, , ,improved pasture,49.0125999,-98.1444626
4293,manitoba,004,0044215,1981, ,151, , ,semi-detailed,solonetz,solodized, ,zim, ,Dark Gray,modal, , ,improved pasture,49.0464401,-98.1846619
4294,manitoba,004,0044216,1981, ,151, , ,semi-detailed,regosol,humic, ,grr, ,Orthic,modal, , ,cropland,49.0738983,-98.2011871
4295,manitoba,004,0044217,1981, ,151, , ,semi-detailed,chernozem,black, ,jyl, ,Gleyed Rego,taxadjunct, , ,cropland,49.0452690,-98.1467819
4296,manitoba,004,0044218,1981, ,151, , ,semi-detailed,chernozem,dark gray, ,atn, ,Orthic,modal, , ,cropland,49.0741310,-98.2340469
4297,ontario,005,0055013,1981, ,15,76,very limited,reconnaisance,brunisol,dystric, ,bkb, ,Orthic,modal, , ,productive,45.1833496,-76.2535477
4298,ontario,005,0055014,1981, ,15,102,limited,reconnaisance,podzol,humo-ferric, ,sho, ,Orthic,modal, , ,productive,45.1850510,-76.1779785
4299,ontario,005,0055015,1981, ,15,93,very limited,reconnaisance,brunisol,melanic, ,vrs, ,Orthic,modal, , ,cropland,45.1667404,-76.1816711
4300,ontario,005,0055016,1981, ,15,115,very limited,reconnaisance,podzol,humo-ferric, ,rub, ,Gleyed Sombric,modal, , ,unproductive,45.1602898,-76.2049484
4301,ontario,005,0055017,1981, ,15,102,very limited,reconnaisance,gleysol,humic, ,dnr, ,Orthic,modal, , ,cropland,45.1532784,-76.2036591
4302,ontario,005,0055018,1981, ,15,107,very limited,reconnaisance,brunisol,eutric, ,auh, ,Orthic,taxadjunct, , ,abandoned,45.1728516,-76.2509003
4303,new brunswick,007,0075731,1981, ,25,126, ,reconnaisance,gleysol,luvic, ,ggv, ,Orthic, , , ,productive,46.0350609,-66.3236008
4304,new brunswick,007,0075732,1981, ,25,30, ,reconnaisance,gleysol,luvic, ,snn, ,Orthic, , , ,productive,46.1853485,-65.9022064
4305,new brunswick,007,0075733,1981, ,25,178, ,reconnaisance,gleysol,gleysol, ,pgr, ,Orthic,modal, , ,productive,46.2281113,-66.4649811
4306,new brunswick,007,0075734,1981, ,150, ,extensive,semi-detailed,podzol,humo-ferric, ,jef, ,Sombric,modal, , ,productive,45.7296104,-65.3204269
4307,new brunswick,007,0075735,1981, ,15, ,limited,semi-detailed,podzol,humo-ferric, ,agc, ,Orthic,modal, , ,productive,45.8088913,-65.3391571
4308,new brunswick,007,0075736,1981, ,15, ,extensive,semi-detailed,podzol,ferro-humic, ,pev, ,Gleyed,variant,drainage,drainage,abandoned,45.7132492,-65.3062592
4309,new brunswick,007,0075737,1981, ,15, ,very limited,detailed,gleysol,humic, ,sap, ,Orthic,modal, , ,improved pasture,45.6542892,-65.6272812
4310,new brunswick,007,0075738,1981, ,15, ,limited,detailed,gleysol,gleysol, ,ssx, ,Rego,modal, , ,abandoned,45.7601700,-65.6142502
4311,prince edward island,009,0095965,1981, ,25,23,very limited,detailed,brunisol,sombric, ,cyp, ,Gleyed Eluviated,modal, , ,abandoned,46.9270096,-64.1838074
4312,prince edward island,009,0095966,1981, ,25,8,limited,detailed,brunisol,melanic, ,wtp, ,Gleyed,modal, , ,improved pasture,46.6384087,-64.2849274
4313,prince edward island,009,0095967,1981, ,25,7,limited,detailed,podzol,humo-ferric, ,hbn, ,Sombric,variant,solum, ,abandoned,46.6314583,-64.2079773
4314,prince edward island,009,0095969,1981, ,25,67,very limited,detailed,brunisol,sombric, ,emy, ,Eluviated,modal, , ,improved pasture,46.2792282,-63.3749084
4315,prince edward island,009,0095970,1981, ,25,25,very limited,detailed,brunisol,sombric, ,gwb, ,Eluviated,modal,texture,texture,cropland,46.3114510,-63.0515594
4316,prince edward island,009,0095971,1981, ,25,10,extensive,detailed,brunisol,melanic, ,dbl, ,Orthic,variant, , ,cropland,46.6417389,-64.2838211
4317,newfoundland,010,0106207,1981, ,15, ,limited,semi-detailed,organic,mesisol, ,tcp, ,Terric,modal, , , ,49.3902092,-54.8700714
4318,newfoundland,010,0106208,1981, ,15, ,limited,semi-detailed,organic,fibrisol, ,dwd, ,Typic,modal, , , ,49.3695412,-54.8709602
4319,newfoundland,010,0106209,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,rcf, ,Typic,modal, , , ,49.3650398,-54.8711586
4320,newfoundland,010,0106210,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,mpd, ,Terric,modal, , , ,49.3516884,-54.8786201
4321,newfoundland,010,0106211,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,rcf, ,Typic,modal, , ,fen,49.2338486,-55.1968918
4322,newfoundland,010,0106212,1981, ,15, ,extensive,semi-detailed,organic,fibrisol, ,mpd, ,Terric,modal, , ,fen,49.2325897,-55.2024307
4323,newfoundland,010,0106213,1981, ,15, ,limited,semi-detailed,organic,humisol, ,mhr, ,Fibric,modal, , ,fen,49.2102394,-55.2293282
4324,newfoundland,010,0106214,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,mpd, ,Terric,modal, , ,fen,49.2670212,-55.1331291
4325,newfoundland,010,0106215,1981, ,15, ,very limited,semi-detailed,organic,fibrisol, ,sha, ,Humic,modal, , ,bog,49.2019691,-55.2892113
4326,newfoundland,010,0106216,1981, ,15, ,very limited,semi-detailed,organic,fibrisol, ,dwd, ,Typic,modal, , ,bog,49.1377983,-55.2101097
4327,newfoundland,010,0106217,1981, ,15, ,very limited,semi-detailed,organic,fibrisol, ,mpd, ,Typic,modal, , ,fen,49.1298714,-55.2623482
4328,newfoundland,010,0106218,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,mpd, ,Typic,modal, , ,fen,49.1327095,-55.2595100
4329,newfoundland,010,0106219,1981, ,15, ,very limited,semi-detailed,podzol,humo-ferric, ,gdr, ,Orthic,modal, , ,productive,49.1564484,-55.4685287
4330,newfoundland,010,0106220,1981, ,15, ,limited,semi-detailed,podzol,ferro-humic, ,abn, ,Orthic,modal, , ,productive,49.2121391,-55.3706894
4331,newfoundland,010,0106221,1981, ,15, ,very limited,semi-detailed,podzol,humo-ferric, ,bap, ,Orthic,modal, , ,productive,49.2409401,-55.3712616
