dataset,profile_id,latitude,longitude,year,n_layers,total_depth_cm,stock_kgm2_total,stock_kgm2_0_30,surface_OrgC_pct,mean_BDOD,reaches_30cm,stock_0_30_is_lower_bound,dist_fort_severn_km,soil_type,soil_type_basis,in_hbl
NPDB,0490026,52.2316704,-117.0963898,1979,8,80,0,0,1.2,NA,TRUE,FALSE,1949.556745439676,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490027,51.5972214,-116.19944,1979,4,110,0,0,15.6,NA,TRUE,FALSE,1923.7120894368022,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500001,51.7293701,-111.9244003,2015,3,40,0,0,NA,NA,TRUE,FALSE,1652.4521828928544,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500002,51.7309608,-111.9260788,2015,1,20,0,0,NA,NA,FALSE,TRUE,1652.477481130363,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500003,51.7320595,-111.9292374,2015,4,95,0,0,NA,NA,TRUE,FALSE,1652.6184142249492,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500004,51.7324219,-111.9287109,2015,2,40,0,0,NA,NA,TRUE,FALSE,1652.5680605731986,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500005,51.7350006,-111.9336319,2015,3,20,0,0,NA,NA,FALSE,TRUE,1652.7449835635107,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500006,51.7206116,-111.9371185,2015,4,29,0,0,NA,NA,FALSE,TRUE,1653.6690742331182,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500007,51.7346611,-111.9201508,2015,3,45,0,0,NA,NA,TRUE,FALSE,1651.9292552283232,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500008,51.7352791,-111.9211502,2015,4,40,0,0,NA,NA,TRUE,FALSE,1651.9605453469753,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500009,51.7335396,-111.9221573,2015,3,42,0,0,NA,NA,TRUE,FALSE,1652.1083623759423,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500010,51.7331505,-111.9209976,2015,4,120,0,0,NA,NA,TRUE,FALSE,1652.0559108404075,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500012,51.7266808,-111.9244614,2015,4,60,0,0,NA,NA,TRUE,FALSE,1652.588440197663,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500013,51.7269096,-111.9239731,2015,4,35,0,0,NA,NA,TRUE,FALSE,1652.547017021531,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500014,58.7105598,-117.3955612,2004,4,60,0,0,NA,NA,TRUE,FALSE,1794.292565216238,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500015,58.7105598,-117.3941727,2004,5,72,0,0,NA,NA,TRUE,FALSE,1794.212511875018,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500017,58.7044411,-117.3786087,2004,4,37,0,0,NA,NA,TRUE,FALSE,1793.3543297609328,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500018,58.7086105,-117.3961105,2004,4,25,0,0,NA,NA,FALSE,TRUE,1794.3367326223697,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500019,58.7108307,-117.4024963,2004,4,50,0,0,NA,NA,TRUE,FALSE,1794.6906666582806,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500020,58.7136116,-117.4058304,2004,4,54,0,0,NA,NA,TRUE,FALSE,1794.865070161584,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500021,58.71278,-117.4013901,2004,4,35,0,0,NA,NA,TRUE,FALSE,1794.6144061415698,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500022,58.71278,-117.3997192,2004,4,38,0,0,NA,NA,TRUE,FALSE,1794.5180769696533,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500023,58.6983299,-117.3888931,2004,4,30,0,0,NA,NA,TRUE,FALSE,1793.986821115077,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500024,58.6952782,-117.3799973,2004,4,55,0,0,NA,NA,TRUE,FALSE,1793.493530565587,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500062,55.7580605,-111.2963867,2006,2,100,0,0,NA,NA,TRUE,FALSE,1468.697000549802,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500084,55.4280586,-111.9369431,2006,6,59,0,0,NA,NA,TRUE,FALSE,1515.5648648306003,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500085,55.4275017,-111.9391708,2006,3,82,0,0,NA,NA,TRUE,FALSE,1515.715505388448,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500086,55.5752792,-112.5277786,2006,6,51,0,0,NA,NA,TRUE,FALSE,1548.4264388272375,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500087,55.558609,-112.4925003,2006,5,52,0,0,NA,NA,TRUE,FALSE,1546.6481855232926,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500090,57.5655594,-112.5124969,2004,5,44,0,0,NA,NA,TRUE,FALSE,1516.237689908831,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500091,57.5675011,-112.5311127,2004,3,46,0,0,NA,NA,TRUE,FALSE,1517.3297030712286,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500092,57.5649986,-112.5263901,2004,3,120,0,0,NA,NA,TRUE,FALSE,1517.0685909315105,organic,NPDB has_organic_horizon flag,FALSE
