"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
870022,"alberta",1986,54.0133286,-116.8666992,10000,TRUE,1.04852,TRUE,1862.81095792072,TRUE
870023,"alberta",1986,54.0250015,-116.9499969,10000,TRUE,15.7218,TRUE,1867.54822290157,TRUE
870024,"alberta",1986,54.0133286,-116.9832993,10000,TRUE,0.7436,TRUE,1870.02541043647,TRUE
870025,"alberta",1986,54.5716705,-117.4167023,10000,TRUE,1.67793,TRUE,1877.68336326738,TRUE
870026,"alberta",1986,54.5016708,-117.6667023,10000,TRUE,2.90411,TRUE,1895.39368533968,TRUE
870027,"alberta",1986,54.3199997,-118.3666992,10000,TRUE,6.22852,TRUE,1944.69282593787,TRUE
870033,"alberta",1986,54.216671,-118.3666992,10000,TRUE,4.2867,TRUE,1948.2924051828,TRUE
870034,"alberta",1986,54.3916702,-116.8167038,10000,TRUE,6.80622,TRUE,1846.63154532173,TRUE
870035,"alberta",1986,54.296669,-117.1333008,10000,TRUE,10.24725,TRUE,1869.39320549259,TRUE
870036,"alberta",1986,54.3100014,-117.0999985,10000,TRUE,1.64472,TRUE,1866.88185120377,TRUE
870037,"alberta",1986,54.3899994,-116.8332977,10000,TRUE,2.63033,TRUE,1847.71197309019,TRUE
870045,"alberta",1986,54.0999985,-116.4332962,10000,TRUE,7.36146,TRUE,1832.92661500026,TRUE
870046,"alberta",1986,54.3149986,-116.6166992,10000,TRUE,1.83978,TRUE,1836.85973732319,TRUE
870047,"alberta",1986,54.1283302,-116.2833023,10000,TRUE,6.64194,TRUE,1822.65537844192,TRUE
870048,"alberta",1986,54.2350006,-116.5999985,10000,TRUE,4.77172,TRUE,1838.55416471499,TRUE
870049,"alberta",1986,54.2016716,-116.5999985,10000,TRUE,4.43712,TRUE,1839.70117925182,TRUE
870050,"alberta",1986,54.1833305,-116.5832977,10000,TRUE,4.62737,TRUE,1839.30246188116,TRUE
870051,"alberta",1986,54.0566711,-116.6500015,10000,TRUE,3.31037,TRUE,1847.86165587618,TRUE
870052,"alberta",1986,54.046669,-116.6333008,10000,TRUE,1.53558,TRUE,1847.18239111489,TRUE
870053,"alberta",1986,54.1616707,-116.6333008,10000,TRUE,1.37739,TRUE,1843.14597269838,TRUE
870054,"alberta",1986,54.2916718,-116.8167038,10000,TRUE,4.95014,TRUE,1850.00857264624,TRUE
870055,"alberta",1986,54.0283318,-116.3499985,10000,TRUE,19.2641,TRUE,1830.29758800099,TRUE
870056,"alberta",1986,53.9983292,-116.3332977,10000,TRUE,5.76672,TRUE,1830.32978320265,TRUE
870057,"alberta",1986,54.2999992,-116.4332962,10000,TRUE,6.45542,TRUE,1826.03426436335,TRUE
870058,"alberta",1986,54.296669,-116.3000031,10000,TRUE,2.5131,TRUE,1817.90820088006,TRUE
870060,"alberta",1986,54.3233299,-116.25,10000,TRUE,2.07174,TRUE,1813.91774063868,TRUE
870076,"alberta",1986,54.5483284,-117.4167023,10000,TRUE,3.87182,TRUE,1878.44785787275,TRUE
870077,"alberta",1986,54.546669,-117.4332962,10000,TRUE,4.19556,TRUE,1879.52487165362,TRUE
870078,"alberta",1986,54.5133286,-117.5,10000,TRUE,2.66432,TRUE,1884.73411534601,TRUE
870079,"alberta",1986,54.5166702,-117.4832993,10000,TRUE,2.54902,TRUE,1883.59440290774,TRUE
870080,"alberta",1986,54.5699997,-118.1500015,10000,TRUE,1.1348,TRUE,1922.89477988633,TRUE
870081,"alberta",1986,54.5533295,-118.1500015,10000,TRUE,0.94461,TRUE,1923.44640957793,TRUE
870082,"alberta",1986,54.4833298,-118.0999985,10000,TRUE,3.60646,TRUE,1922.70017431233,TRUE
870083,"alberta",1986,54.4550018,-118.0667038,10000,TRUE,4.10964,TRUE,1921.60051948528,TRUE
870084,"alberta",1986,54.5666695,-118.1500015,10000,TRUE,1.80582,TRUE,1923.00485256303,TRUE
870086,"alberta",1986,54.5616684,-118.1667023,10000,TRUE,1.35984,TRUE,1924.19823942543,TRUE
870088,"alberta",1986,54.5550003,-117.8833008,10000,TRUE,2.08615,TRUE,1906.97095164945,TRUE
870095,"alberta",1986,54.5250015,-118.1999969,10000,TRUE,4.22976,TRUE,1927.4655465978,TRUE
870096,"alberta",1986,54.5550003,-117.8499985,10000,TRUE,3.02718,TRUE,1904.92018123858,TRUE
870098,"alberta",1986,54.6300011,-115.5167007,10000,TRUE,4.3414,TRUE,1758.63145414227,TRUE
870099,"alberta",1986,54.6300011,-115.5500031,10000,TRUE,8.03931,TRUE,1760.68735016233,TRUE
870100,"alberta",1986,54.7050018,-115.5167007,10000,TRUE,3.75852,TRUE,1756.28948683653,TRUE
870102,"alberta",1986,54.7533302,-115.4332962,10000,TRUE,2.0715,TRUE,1749.65465249757,TRUE
870103,"alberta",1986,54.7583389,-115.5500031,10000,TRUE,0.8388,TRUE,1756.69957408017,TRUE
870106,"alberta",1986,54.7383308,-115.6832962,10000,TRUE,1.58785,TRUE,1765.53571898678,TRUE
870110,"alberta",1986,54.7283287,-115.5167007,10000,TRUE,1.2654,TRUE,1755.56833295276,TRUE
870111,"alberta",1986,54.7483292,-115.5,10000,TRUE,1.35336,TRUE,1753.9226261598,TRUE
870113,"alberta",1986,54.8233299,-115.4167023,10000,TRUE,5.24726,TRUE,1746.50217668001,TRUE
870114,"alberta",1986,54.7299995,-115.4167023,10000,TRUE,1.09725,TRUE,1749.34752064556,TRUE
870115,"alberta",1986,54.7783318,-115.5167007,10000,TRUE,2.43,TRUE,1754.03410232132,TRUE
870116,"alberta",1986,54.7783318,-115.5,10000,TRUE,10.97052,TRUE,1753.00420618908,TRUE
870117,"alberta",1986,54.8050003,-115.3332977,10000,TRUE,6.78866,TRUE,1741.91341303734,TRUE
870118,"alberta",1986,54.8149986,-115.4332962,10000,TRUE,5.00172,TRUE,1747.77703761387,TRUE
870119,"alberta",1986,54.6650009,-115.5,10000,TRUE,3.30858,TRUE,1756.50335709391,TRUE
870123,"alberta",1986,54.6516685,-115.4167023,10000,TRUE,2.1882,TRUE,1751.77836126242,TRUE
870124,"alberta",1986,54.7333298,-115.3666992,10000,TRUE,4.84335,TRUE,1746.15993646298,TRUE
870125,"alberta",1986,54.6133308,-115.5667038,10000,TRUE,4.71796,TRUE,1762.24405594114,TRUE
870126,"alberta",1986,54.4766693,-115.4666977,10000,TRUE,3.26132,TRUE,1760.43927197599,TRUE
870127,"alberta",1986,54.5950012,-115.5667038,10000,TRUE,2.98372,TRUE,1762.8241348269,TRUE
870128,"alberta",1986,54.5883293,-115.5667038,10000,TRUE,3.97792,TRUE,1763.03580494193,TRUE
870129,"alberta",1986,54.4966698,-115.4167023,10000,TRUE,7.5187,TRUE,1756.70282157207,TRUE
